>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PRGM113_149mm60_DrhTr_SK_C25.smokePenalty changed in second object (was 0.0001, is 0.6)
root.PGSC109_Roon.A2_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PGSC109_Roon.B2_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PGSC109_Roon.B2_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PGSC109_Roon.B2_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PGSC109_Roon.B1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PGSC109_Roon.B1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PGSC109_Roon.B1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PCGM501_VanHellsing_Gun.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PAGM163_14in45_Triple.smokePenalty changed in second object (was 0.0001, is 8.22)
root.PRSC105_Kirov.A1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 1.05)
root.PRSC105_Kirov.A1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 1.05)
root.PRSC105_Kirov.A1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 1.05)
root.PRSC105_Kirov.B1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 1.05)
root.PRSC105_Kirov.B1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 1.05)
root.PRSC105_Kirov.B1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 1.05)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD205_Podvoisky_pr_1929.AB1_Artillery.HP_RGM_5.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSB505_Oktyabrskaya_Revolutsiya.A1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PRSB505_Oktyabrskaya_Revolutsiya.A1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PRSB505_Oktyabrskaya_Revolutsiya.A1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PRSB505_Oktyabrskaya_Revolutsiya.A1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 5.16)
root.PGSB104_Kaiser.A1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.A1_Artillery.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.A1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.A1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.A1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.B1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.B1_Artillery.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.B1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.B1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB104_Kaiser.B1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_9.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_10.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_11.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_12.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_13.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSC001_Avrora_1917.ArtilleryDefault.HP_RGM_14.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRSD108_Pr_20i_Tashkent.AB1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSD108_Pr_20i_Tashkent.AB1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PRSD108_Pr_20i_Tashkent.AB1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.26)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_10.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_9.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_8.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_7.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC044_Marblehead_1924.ArtilleryDefault.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PFGM044_152_55_Mle_1930_RF.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_12.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_11.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_10.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_7.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_6.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_9.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PGSC103_Kolberg.ArtilleryDefault.HP_GGM_8.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PJGM074_127mm50_Type_B.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC002_Chester_1908.B2_152_50.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_6.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.B1_127_50.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.A1_127_50.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.A1_127_50.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.A1_127_50.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASC002_Chester_1908.A1_127_50.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PGSB002_Tirpiz_1942.ArtilleryDefault.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PGSB002_Tirpiz_1942.ArtilleryDefault.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PGSB002_Tirpiz_1942.ArtilleryDefault.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PGSB002_Tirpiz_1942.ArtilleryDefault.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PRGM037_6in45_Cane.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASB001_Michigan_1916.A1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB001_Michigan_1916.A1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB001_Michigan_1916.A1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB001_Michigan_1916.A1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB001_Michigan_1916.B1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB001_Michigan_1916.B1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB001_Michigan_1916.B1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PASB001_Michigan_1916.B1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PJGM001_460mm45_Type96.smokePenalty changed in second object (was 0.0001, is 17.73)
root.PBGM199_6IN45_DANAE_EM.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PRGM100_152mm_45_casemate_R.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PFSC104_Duguay_Trouin.AB1_Artillery.HP_FGM_4.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PFSC104_Duguay_Trouin.AB1_Artillery.HP_FGM_3.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PFSC104_Duguay_Trouin.AB1_Artillery.HP_FGM_1.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PFSC104_Duguay_Trouin.AB1_Artillery.HP_FGM_2.smokePenalty changed in second object (was 0.0001, is 0.42)
root.PGGM065_203mm_C34.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJGM540_127mm50_Type_C_HSF.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PGGM005_380mm_SKC_34_RF.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PRSD207_Minsk.AB1_Artillery.HP_RGM_2.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD207_Minsk.AB1_Artillery.HP_RGM_3.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD207_Minsk.AB1_Artillery.HP_RGM_1.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD207_Minsk.AB1_Artillery.HP_RGM_4.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PRSD207_Minsk.AB1_Artillery.HP_RGM_5.smokePenalty changed in second object (was 0.0001, is 0.13)
root.PJSC837_False_Hashidate_1940.ArtilleryDefault.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PJSC837_False_Hashidate_1940.ArtilleryDefault.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PAGM009_6in47_CL55.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PJSD012_Shimakaze_1943.AB_127_50.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD012_Shimakaze_1943.AB_127_50.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD012_Shimakaze_1943.AB_127_50.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJGM048_410mm45_Type3_RF_R.smokePenalty changed in second object (was 0.0001, is 8.38)
root.PASC001_Erie_1936.A_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC001_Erie_1936.A_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC001_Erie_1936.A_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC001_Erie_1936.A_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC017_Baltimore_1944.AB1_203_55.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC017_Baltimore_1944.AB1_203_55.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PASC017_Baltimore_1944.AB1_203_55.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 1.53)
root.PFGM001_330_52_Mle_1931.smokePenalty changed in second object (was 0.0001, is 8.72)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 3.44)
root.PGSB503_Koenig_Albert.A_Hull.armourDeck[0] changed in second object (was 19.0, is -1)
root.PGSB503_Koenig_Albert.A_Hull.armourDeck[1] changed in second object (was 60.0, is -1)
root.PGSB503_Koenig_Albert.A_Hull.armourExtremities[0] changed in second object (was 19.0, is -1)
root.PGSB503_Koenig_Albert.A_Hull.armourExtremities[1] changed in second object (was 180.0, is -1)
root.PGSB503_Koenig_Albert.A_Hull.armourCit[0] changed in second object (was 40.0, is -1)
root.PGSB503_Koenig_Albert.A_Hull.armourCit[1] changed in second object (was 265.0, is -1)
root.PGSB503_Koenig_Albert.A_Hull.armourCas[0] changed in second object (was 170.0, is -1)
root.PGSB503_Koenig_Albert.A_Hull.armourCas[1] changed in second object (was 350.0, is -1)
root.PGSB503_Koenig_Albert.groupCustom.EU removed in first object
root.PGSB503_Koenig_Albert.ShipUpgradeInfo.PGUA221_ART_KA.distance[0] changed in second object (was 10840, is 0)
root.PGSB503_Koenig_Albert.ShipUpgradeInfo.PGUA221_ART_KA.distance[1] changed in second object (was 10840, is 0)
root.PGSB503_Koenig_Albert.ShipUpgradeInfo.PGUA221_ART_KA.rotationSpeed[0] changed in second object (was 3.0, is 0.0)
root.PGSB503_Koenig_Albert.ShipUpgradeInfo.PGUA221_ART_KA.rotationSpeed[1] changed in second object (was 4.0, is 0.0)
root.PGSB503_Koenig_Albert.ShipUpgradeInfo.PGUA221_ART_KA.shotDelay changed in second object (was 30.0, is 0)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_7.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_6.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_8.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_7.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_6.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_8.smokePenalty changed in second object (was 0.0001, is 0.2)
root.PASB509_Missouri.A1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB509_Missouri.A1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB509_Missouri.A1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PGSC001_Hermelin_1940.A_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PGSC001_Hermelin_1940.A_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_4.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_5.smokePenalty changed in second object (was 0.0001, is 1.02)
root.PASD508_Kidd.A1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD508_Kidd.A1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD508_Kidd.A1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD508_Kidd.A1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASD508_Kidd.A1_Artillery.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PJGM538_5in54_MK16.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PASB708_Alabama.A1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB708_Alabama.A1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PASB708_Alabama.A1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 12.18)
root.PJSD024_Wakatake_1923.AB1_Artillery.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PJSD024_Wakatake_1923.AB1_Artillery.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PJSD024_Wakatake_1923.AB1_Artillery.HP_JGM_3.smokePenalty changed in second object (was 0.0001, is 0.1)
root.PFGM009_240_55_Mle.smokePenalty changed in second object (was 0.0001, is 2.52)
root.PBPA056_406MM_AP_NELSON.costCR changed in second object (was 150, is 120)
root.PAGM138_5in38_Mk21.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PGGM085_105mm_tbts_LC_16.smokePenalty changed in second object (was 0.0001, is 0.07)
root.PAGM126_14in_45_Mk8.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PJGM117_410mm50_Type3_RF_R removed in second object
root.PJGM115_410mm50_Type3 removed in second object
root.PRGM076_152mm_45_casemate.smokePenalty changed in second object (was 0.0001, is 0.21)
root.PJGM035_140mm50_Type_3Year.smokePenalty changed in second object (was 0.0001, is 0.17)
root.PGSB107_Gneisenau.AB1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PGSB107_Gneisenau.AB1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PGSB107_Gneisenau.AB1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 6.66)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_3.smokePenalty changed in second object (was 0.0001, is 2.76)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_6.smokePenalty changed in second object (was 0.0001, is 2.76)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_5.smokePenalty changed in second object (was 0.0001, is 2.76)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_4.smokePenalty changed in second object (was 0.0001, is 2.76)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_2.smokePenalty changed in second object (was 0.0001, is 2.76)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_1.smokePenalty changed in second object (was 0.0001, is 2.76)
root.PBSC108_Edinburgh.A1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC108_Edinburgh.A1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC108_Edinburgh.A1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC108_Edinburgh.A1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC108_Edinburgh.B1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC108_Edinburgh.B1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC108_Edinburgh.B1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSC108_Edinburgh.B1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PBSB507_Hood.A1_Artillery.HP_BGM_2.smokePenalty changed in second object (was 0.0001, is 6.72)
root.PBSB507_Hood.A1_Artillery.HP_BGM_3.smokePenalty changed in second object (was 0.0001, is 6.72)
root.PBSB507_Hood.A1_Artillery.HP_BGM_1.smokePenalty changed in second object (was 0.0001, is 6.72)
root.PBSB507_Hood.A1_Artillery.HP_BGM_4.smokePenalty changed in second object (was 0.0001, is 6.72)
root.PASB705_Texas_1944.A1_Artillery.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PASB705_Texas_1944.A1_Artillery.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PASB705_Texas_1944.A1_Artillery.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PASB705_Texas_1944.A1_Artillery.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PASB705_Texas_1944.A1_Artillery.HP_AGM_5.smokePenalty changed in second object (was 0.0001, is 5.48)
root.PFSD605_Cyclone_event.A1_Artillery.HP_FGM_4.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PFSD605_Cyclone_event.A1_Artillery.HP_FGM_3.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PFSD605_Cyclone_event.A1_Artillery.HP_FGM_1.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PFSD605_Cyclone_event.A1_Artillery.HP_FGM_2.smokePenalty changed in second object (was 0.0001, is 1.0)
root.PASC007_Cleveland_1945.AB2_152_47.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PASC007_Cleveland_1945.AB2_152_47.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PASC007_Cleveland_1945.AB2_152_47.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PASC007_Cleveland_1945.AB2_152_47.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PASC007_Cleveland_1945.AB1_152_47.HP_AGM_1.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PASC007_Cleveland_1945.AB1_152_47.HP_AGM_3.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PASC007_Cleveland_1945.AB1_152_47.HP_AGM_2.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PASC007_Cleveland_1945.AB1_152_47.HP_AGM_4.smokePenalty changed in second object (was 0.0001, is 0.63)
root.PAGM133_5in51_Mk_7_mod2.smokePenalty changed in second object (was 0.0001, is 0.12)
root.PJSD107_Akatsuki.AB1_Artillery.HP_JGM_1.smokePenalty changed in second object (was 0.0001, is 0.24)
root.PJSD107_Akatsuki.AB1_Artillery.HP_JGM_2.smokePenalty changed in second object (was 0.0001, is 0.24)
