>> loading GameParams.old.txt (first object)
>> loading GameParams.txt (second object)
>> comparing pickles
root.PCPA023_140mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PJSD007_Fubuki_1944.B1_127_50.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD007_Fubuki_1944.B1_127_50.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGGM058_280mm54_5_C34.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM145_200mm50_Type_E.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJPA035_Shell_356mm_AP_AP_Type_5.bulletCapNormalizeMaxAngle changed in second object (was 5.25, is 6.0)
root.PJW016_Gunzou.goldRetrainingPrice removed in second object
root.PJW016_Gunzou.baseTrainingHirePrice removed in second object
root.PJW016_Gunzou.moneyRetrainingPrice removed in second object
root.PJW016_Gunzou.goldTrainingHirePrice removed in second object
root.PJW016_Gunzou.moneyTrainingHirePrice removed in second object
root.PAGM009_6in47_CL55.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD012_Shimakaze_1943.AB_127_50.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD012_Shimakaze_1943.AB_127_50.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD012_Shimakaze_1943.AB_127_50.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA046_Shell_127_AP_C_Mk_15.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PJGM048_410mm45_Type3_RF_R.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC001_Erie_1936.A_Hull.Ammo_1.maxHP changed in second object (was 5000.0, is 2500.0)
root.PASC001_Erie_1936.A_Hull.Ammo_2.maxHP changed in second object (was 5000.0, is 2500.0)
root.PASC001_Erie_1936.A_Hull.Bow.maxHP changed in second object (was 300.0, is 200.0)
root.PASC001_Erie_1936.A_Hull.health changed in second object (was 9900.0, is 4950.0)
root.PASC001_Erie_1936.A_Hull.St.maxHP changed in second object (was 700.0, is 300.0)
root.PASC001_Erie_1936.A_Hull.SS.maxHP changed in second object (was 900.0, is 400.0)
root.PASC001_Erie_1936.A_Hull.visibilityFactorByPlane changed in second object (was 3.84, is 5.84)
root.PASC001_Erie_1936.A_Hull.Hull.maxHP changed in second object (was 7400.0, is 3900.0)
root.PASC001_Erie_1936.A_Hull.SG.maxHP changed in second object (was 3000.0, is 1500.0)
root.PASC001_Erie_1936.A_Hull.SSC.maxHP changed in second object (was 1100.0, is 600.0)
root.PASC001_Erie_1936.A2_152_47 removed in second object
root.PASC001_Erie_1936.battleLevel.pvp[0] changed in second object (was 2, is 1)
root.PASC001_Erie_1936.battleLevel.pvp[1] removed in second object
root.PASC001_Erie_1936.battleLevel.pve[0] changed in second object (was 2, is 1)
root.PASC001_Erie_1936.battleLevel.pve[1] removed in second object
root.PASC001_Erie_1936.DirectorsDefault removed in second object
root.PASC001_Erie_1936.ShipUpgradeInfo.PAUS001_Suo.components.fireControl[0] changed in second object (was FireControlDefault, is A1_FireControl)
root.PASC001_Erie_1936.ShipUpgradeInfo.PAUA001_C1_ART_TOP removed in second object
root.PASC001_Erie_1936.ShipUpgradeInfo.PAUH001_Erie_1936.components.artillery[0] changed in second object (was A1_127_51, is A_Artillery)
root.PASC001_Erie_1936.ShipUpgradeInfo.PAUH001_Erie_1936.components.artillery[1] removed in second object
root.PASC001_Erie_1936.ShipUpgradeInfo.PAUH001_Erie_1936.components.directors[0] changed in second object (was DirectorsDefault, is A_Directors)
root.PASC001_Erie_1936.ShipUpgradeInfo.PAUA002_C1_ART_STOCK.components.artillery[0] changed in second object (was A1_127_51, is A_Artillery)
root.PASC001_Erie_1936.ShipUpgradeInfo.PAUS002_Suo removed in first object
root.PASC001_Erie_1936.EngineDefault.HitLocationEngine.maxHP changed in second object (was 15100.0, is 4950.0)
root.PASC001_Erie_1936.FireControlDefault removed in second object
root.PASC001_Erie_1936.A_AirDefense.HP_AGA_4.antiAirAuraDistance changed in second object (was 103.0, is 25.0)
root.PASC001_Erie_1936.A_AirDefense.HP_AGA_4.antiAirAuraStrength changed in second object (was 0.068, is 0.0068)
root.PASC001_Erie_1936.A_AirDefense.HP_AGA_1.antiAirAuraDistance changed in second object (was 103.0, is 25.0)
root.PASC001_Erie_1936.A_AirDefense.HP_AGA_1.antiAirAuraStrength changed in second object (was 0.068, is 0.0068)
root.PASC001_Erie_1936.A_AirDefense.HP_AGA_3.antiAirAuraDistance changed in second object (was 103.0, is 25.0)
root.PASC001_Erie_1936.A_AirDefense.HP_AGA_3.antiAirAuraStrength changed in second object (was 0.068, is 0.0068)
root.PASC001_Erie_1936.A_AirDefense.HP_AGA_2.antiAirAuraDistance changed in second object (was 103.0, is 25.0)
root.PASC001_Erie_1936.A_AirDefense.HP_AGA_2.antiAirAuraStrength changed in second object (was 0.068, is 0.0068)
root.PASC001_Erie_1936.A1_127_51 removed in second object
root.PASC001_Erie_1936.A1_FireControl removed in first object
root.PASC001_Erie_1936.A_Directors removed in first object
root.PASC001_Erie_1936.A_Artillery removed in first object
root.PASC001_Erie_1936.A2_FireControl removed in first object
root.PGGM148_420MM_48_DRH_LC_1940.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC017_Baltimore_1944.AB2_203_55.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC017_Baltimore_1944.AB1_203_55.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC017_Baltimore_1944.AB1_203_55.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC017_Baltimore_1944.AB1_203_55.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PFGM001_330_52_Mle_1931.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB503_Koenig_Albert.permoflages[0] changed in second object (was PGEP303_Koenig_Albert, is PCEP103_Permo_Prem_Low_lvl)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB503_Koenig_Albert.A1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB503_Koenig_Albert.nativePermoflage changed in second object (was PGEP303_Koenig_Albert, is PCEP103_Permo_Prem_Low_lvl)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.A1_Artillery.HP_GGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSC104_Karlsruhe.B1_Artillery.HP_GGM_8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA029_Shell_152mm_AP_SC_Mk_27_Mod_2.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PJGM114_360mm45_Type_41.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC707_Ashigara.ArtilleryDefault.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASX006_Cimarron_invisible.ArtilleryDefault.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASX006_Cimarron_invisible.ArtilleryDefault.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASX006_Cimarron_invisible.ArtilleryDefault.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASX006_Cimarron_invisible.ArtilleryDefault.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD024_Wakatake_1923.AB1_Artillery.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD024_Wakatake_1923.AB1_Artillery.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSD024_Wakatake_1923.AB1_Artillery.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJPA053_410mm_AP_APC_Type_91.bulletCapNormalizeMaxAngle changed in second object (was 5.05, is 6.0)
root.PBSB002_Warspite_1941.permoflages[0] changed in second object (was PBEP302_Warspite_1941, is PCEP107_Permo_Prem_High_lvl)
root.PBSB002_Warspite_1941.ArtilleryDefault.HP_BGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PBSB002_Warspite_1941.ArtilleryDefault.HP_BGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PBSB002_Warspite_1941.ArtilleryDefault.HP_BGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PBSB002_Warspite_1941.ArtilleryDefault.HP_BGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PBSB002_Warspite_1941.nativePermoflage changed in second object (was PBEP302_Warspite_1941, is PCEP107_Permo_Prem_High_lvl)
root.PBSB002_Warspite_1941.groupCustom.EU changed in second object (was special, is premium)
root.PBSB002_Warspite_1941.groupCustom.NA changed in second object (was special, is premium)
root.PBSB002_Warspite_1941.groupCustom.CN changed in second object (was special, is premium)
root.PBSB002_Warspite_1941.groupCustom.ASIA changed in second object (was special, is premium)
root.PBSB002_Warspite_1941.groupCustom.RU changed in second object (was special, is premium)
root.PAGM138_5in38_Mk21.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGPA005_128mm_AP_PSGR.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PJSA011_Hiryu_1942.permoflages[0] changed in second object (was PJEP111_Hiryu_1942, is PCEP117_Permo_Upgr_7_lvl)
root.PCPA027_152mm_BASIC_MG_AP.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PGGM147_420MM_48_DRH_LC_1940.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM126_14in_45_Mk8.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM117_410mm50_Type3_RF_R.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC107_Schors.permoflages[0] changed in second object (was PREP407_Schors, is PCEP117_Permo_Upgr_7_lvl)
root.PRSC107_Schors.A1_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC107_Schors.A1_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC107_Schors.A1_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC107_Schors.A1_Artillery.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC107_Schors.B_Finders.HP_RF_7.miscFilter[0] removed in first object
root.PRSC107_Schors.B_Finders.HP_RF_3.miscFilter[0] removed in first object
root.PRSC107_Schors.B1_Artillery.HP_RGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC107_Schors.B1_Artillery.HP_RGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC107_Schors.B1_Artillery.HP_RGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRSC107_Schors.B1_Artillery.HP_RGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM067_305mm50_double.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM115_410mm50_Type3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJGM035_140mm50_Type_3Year.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB107_Gneisenau.AB1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB107_Gneisenau.AB1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB107_Gneisenau.AB1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_6.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB103_Nassau.AB1_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB507_Scharnhorst.permoflages[0] changed in second object (was PGEP507_Scharnhorst, is PCEP107_Permo_Prem_High_lvl)
root.PGSB507_Scharnhorst.nationFlagScale changed in second object (was 1.8, is 1.0)
root.PGSB507_Scharnhorst.nativePermoflage changed in second object (was PGEP507_Scharnhorst, is PCEP107_Permo_Prem_High_lvl)
root.PGSB507_Scharnhorst.A_Artillery.HP_GGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB507_Scharnhorst.A_Artillery.HP_GGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB507_Scharnhorst.A_Artillery.HP_GGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PGSB507_Scharnhorst.A_ATBA.HP_GGS_1.miscFilter[0] removed in second object
root.PGSB507_Scharnhorst.A_ATBA.HP_GGS_2.miscFilter[0] removed in second object
root.PGSB507_Scharnhorst.A_Finders.HP_GF_8.miscFilter[2] removed in first object
root.PJPA048_200mm_AP_APC_Type_5.bulletCapNormalizeMaxAngle changed in second object (was 8.2, is 7.0)
root.PGPA006_128MM_HE_SPRGR.alphaDamage changed in second object (was 1500.0, is 900.0)
root.PGPA006_128MM_HE_SPRGR.damage changed in second object (was 430.0, is 215.0)
root.PJSC026_Iwaki_1944.permoflages[0] changed in second object (was PJEP426_Iwaki_1944, is PCEP103_Permo_Prem_Low_lvl)
root.PJSC026_Iwaki_1944.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC026_Iwaki_1944.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC026_Iwaki_1944.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC026_Iwaki_1944.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC026_Iwaki_1944.ArtilleryDefault.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC026_Iwaki_1944.nativePermoflage changed in second object (was PJEP426_Iwaki_1944, is PCEP103_Permo_Prem_Low_lvl)
root.PGPA038_406MM_AP_PZ_GR_L4_4.bulletCapNormalizeMaxAngle changed in second object (was 4.0, is 6.0)
root.PJGM125_3in40_mk1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM113_5in38_Mk32_Mod12.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.B_Hull_1941.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB706_Kirishima.A1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.A1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.A1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.A1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.B1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.B1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.B1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.B1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.A_Hull_1913.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB706_Kirishima.C_Hull_1942.sinkingEffects changed in second object (was , is PCXS000_Battleship)
root.PJSB706_Kirishima.C1_356_45.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.C1_356_45.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.C1_356_45.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB706_Kirishima.C1_356_45.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA070_127MM_AP_BLACK.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PGPA020_150MM_AP_PSGR_L3_7_C25.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PASB006_New_York_1934.permoflages[0] changed in second object (was PAEP308_New_York_1934, is PCEP115_Permo_Upgr_5_lvl)
root.PASB006_New_York_1934.B1_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.B1_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.B1_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.B1_Artillery.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.B1_Artillery.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.C1_Artillery.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.C1_Artillery.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.C1_Artillery.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.C1_Artillery.HP_AGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASB006_New_York_1934.C1_Artillery.HP_AGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PCW001_CrewCommon.goldRetrainingPrice removed in second object
root.PCW001_CrewCommon.baseTrainingHirePrice removed in second object
root.PCW001_CrewCommon.moneyRetrainingPrice removed in second object
root.PCW001_CrewCommon.goldTrainingHirePrice removed in second object
root.PCW001_CrewCommon.moneyTrainingHirePrice removed in second object
root.PGGM026_127mm_KC_40.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA033_Shell_102mm_AP_SC_Mk_16.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 10.0)
root.PGGM027_210mm45_SK_L45.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC727_Blue_Dragon.A_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PJSC727_Blue_Dragon.ArtilleryDefault.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC727_Blue_Dragon.ArtilleryDefault.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC727_Blue_Dragon.ArtilleryDefault.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC727_Blue_Dragon.ArtilleryDefault.HP_JGM_4.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC727_Blue_Dragon.ArtilleryDefault.HP_JGM_5.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC727_Blue_Dragon.B_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PJSC727_Blue_Dragon.C_Hull.sinkingEffects changed in second object (was , is PCXS006_Cruiser)
root.PAGM034_16in50_Mk7.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRGM090_130mm_55_casemate.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PZGM002_130mm_B13_2c.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAGM020_8in55_Mk14_Mod1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PAPA031_Shell_152mm_AP_AP_105lbs.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PRGM064_180mm_57_MK_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC007_Aoba_1943.AB1_Artillery.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC007_Aoba_1943.AB1_Artillery.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSC007_Aoba_1943.AB1_Artillery.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PRW001_DefaultCrew.goldRetrainingPrice removed in second object
root.PRW001_DefaultCrew.baseTrainingHirePrice removed in second object
root.PRW001_DefaultCrew.moneyRetrainingPrice removed in second object
root.PRW001_DefaultCrew.goldTrainingHirePrice removed in second object
root.PRW001_DefaultCrew.moneyTrainingHirePrice removed in second object
root.PJW007_Haruna.goldRetrainingPrice removed in second object
root.PJW007_Haruna.baseTrainingHirePrice removed in second object
root.PJW007_Haruna.moneyRetrainingPrice removed in second object
root.PJW007_Haruna.goldTrainingHirePrice removed in second object
root.PJW007_Haruna.moneyTrainingHirePrice removed in second object
root.PRPA021_152MM_B35_KUTUZOV.bulletCapNormalizeMaxAngle changed in second object (was 8.0, is 8.5)
root.PAGM162_14in45_Triple.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC907_Des_Moines_1948_Halloween.ArtilleryDefault.HP_AGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC907_Des_Moines_1948_Halloween.ArtilleryDefault.HP_AGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PASC907_Des_Moines_1948_Halloween.ArtilleryDefault.HP_AGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB021_Izumo_1938.permoflages[0] changed in second object (was PJEP321_Izumo_1938, is PCEP119_Permo_Upgr_9_lvl)
root.PJSB021_Izumo_1938.ABC1_Artillery.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB021_Izumo_1938.ABC1_Artillery.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB021_Izumo_1938.ABC1_Artillery.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB021_Izumo_1938.BC2_Artillery.HP_JGM_1.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB021_Izumo_1938.BC2_Artillery.HP_JGM_2.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
root.PJSB021_Izumo_1938.BC2_Artillery.HP_JGM_3.HitLocationArtillery.volumeCoeff changed in second object (was 0.66, is 0.33)
